campaign_id,campaign_name,campaign_type,target_product_id,start_date,end_date,target_customer_type
M001,Your First BTYT Account,ACQUISITION,P001,2021-02-01,2021-04-30,INDIVIDUAL
M002,Rural Investment 2021,CROSS_SELL,P017,2021-03-15,2021-06-30,BUSINESS
M003,Payroll with BTYT 2021,ACQUISITION,P005,2021-07-01,2021-09-30,INDIVIDUAL
M004,Save in USD 2021,CROSS_SELL,P008,2021-10-01,2021-12-15,BOTH
M005,Back to University 2022,ACQUISITION,P006,2022-02-01,2022-04-15,INDIVIDUAL
M006,SME Growth 2022,CROSS_SELL,P015,2022-04-01,2022-07-31,BUSINESS
M007,BTYT Digital 2022,ACTIVATION,,2022-08-01,2022-11-30,BOTH
M008,Your First Home 2023,CROSS_SELL,P014,2023-03-01,2023-06-30,INDIVIDUAL
M009,Premium Upgrade 2023,UPSELL,P011,2023-05-15,2023-08-31,INDIVIDUAL
M010,Business Liquidity 2023,CROSS_SELL,P016,2023-09-01,2023-11-30,BUSINESS
M011,Summer East Coast 2024,ACQUISITION,P001,2023-12-01,2024-02-29,INDIVIDUAL
M012,Drive with BTYT 2024,CROSS_SELL,P013,2024-04-01,2024-07-31,BOTH
M013,Stay with BTYT 2024,RETENTION,,2024-08-15,2024-11-30,BOTH
M014,Rural Investment 2025,CROSS_SELL,P017,2025-02-15,2025-06-30,BUSINESS
M015,Business Equipment 2025,CROSS_SELL,P018,2025-04-01,2025-08-31,BUSINESS
M016,Save in USD 2025,CROSS_SELL,P008,2025-09-01,2025-12-15,BOTH
M017,Payroll with BTYT 2026,ACQUISITION,P005,2026-02-01,2026-05-31,INDIVIDUAL
M018,Premium Upgrade 2026,UPSELL,P011,2026-05-01,2026-08-15,INDIVIDUAL
M019,BTYT Eastern Roots 2026,CROSS_SELL,,2026-03-01,2026-06-30,BOTH
M020,BTYT Cerca 2026,ACTIVATION,,2026-04-15,2026-07-31,BOTH
